Date : 2025-07-13 00:25:32
Directory : c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src
Total : 111 files,  9020 codes, 270 comments, 1477 blanks, all 10767 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Sidebar\index.jsx                               | JavaScript JSX |        121 |          1 |         30 |        152 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\Sidebar\style.css                               | PostCSS        |        226 |         30 |         52 |        308 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\components\url.js                                          | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\index.css                                                  | PostCSS        |         59 |         63 |         12 |        134 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\main.jsx                                                   | JavaScript JSX |          9 |          0 |          2 |         11 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\ScrollToTop.jsx                                   | JavaScript JSX |          9 |          1 |          3 |         13 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\auth.js                                           | JavaScript     |         20 |          0 |          4 |         24 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\getUserToken.js                                   | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\hexToRGBA.js                                      | JavaScript     |         15 |          1 |          5 |         21 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\protectedRoute.jsx                                | JavaScript JSX |         22 |          2 |          6 |         30 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\roleRoute.jsx                                     | JavaScript JSX |         31 |          2 |          8 |         41 |
| c:\Users\guilh\OneDrive\Documentos\Trylearn\client\src\services\themeContext.jsx                                  | JavaScript JSX |         24 |          2 |          8 |         34 |
| Total                                                                                                             |                |      9,020 |        270 |      1,477 |     10,767 |
+-------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
